superid,initial_coop,initial_local_gini,initial_local_avg_wealth,initial_degree,initial_score
4617,P,0.407142857142857,437.5,6,1150
4618,C,0.351851851851852,675,9,200
4619,D,0.351851851851852,675,7,1150
4620,D,0.399399399399399,411.111111111111,11,200
4621,D,0.393103448275862,580,6,200
4700,C,0.351851851851852,675,6,1150
4701,C,0,200,3,200
4705,D,0.351851851851852,675,1,200
4706,P,0.408602150537634,516.666666666667,2,1150
4707,C,0.408602150537634,516.666666666667,8,1150
4708,C,0.408602150537634,516.666666666667,6,200
4709,C,0.407142857142857,437.5,5,200
4710,C,0.407142857142857,437.5,5,200
4712,C,0.368217054263566,358.333333333333,7,200
4713,D,0.253333333333333,833.333333333333,2,200
4714,C,0.407142857142857,437.5,5,1150
4715,D,0.408602150537634,516.666666666667,4,200
4801,C,0,200,2,200
4802,C,0.253333333333333,833.333333333333,6,1150
4803,C,0.368217054263566,358.333333333333,6,200
4804,C,0.407142857142857,437.5,7,200
4805,C,0.408602150537634,516.666666666667,3,1150
4806,C,0.351851851851852,675,4,200
4807,C,0.351851851851852,675,6,1150
4808,C,0.368217054263566,358.333333333333,6,200
4809,C,0.408602150537634,516.666666666667,7,200
4810,P,0,200,1,200
4811,C,0.253333333333333,833.333333333333,4,1150
4812,NA,NA,NA,NA,200
4901,C,0,200,2,200
4902,,0,200,2,200
4903,D,0.38974358974359,390,3,1150
4904,D,0.407142857142857,437.5,2,200
4905,C,0,200,4,200
4906,C,0,200,4,200
4907,NA,NA,NA,NA,200
4909,NA,NA,NA,NA,200
4911,C,0.407142857142857,437.5,3,200
4912,C,0,200,2,200
5000,C,0.408602150537634,516.666666666667,2,1150
5001,C,0.351851851851852,675,7,1150
5003,,0,200,1,200
5004,D,0.408602150537634,516.666666666667,2,200
5005,,0,1150,4,1150
5006,C,0.393103448275862,580,7,1150
5007,C,0.393103448275862,580,5,200
5008,C,0.195205479452055,912.5,5,1150
5009,D,0.393103448275862,580,5,200
5010,C,0.220673635307781,878.571428571429,7,200
5011,C,0.253333333333333,833.333333333333,3,1150
5012,D,0.253333333333333,833.333333333333,4,1150
5013,C,0.393103448275862,580,6,200
