superid,initial_coop,initial_local_gini,initial_local_avg_wealth,initial_degree,initial_score
1324,D,0.383193277310924,607.142857142857,5,1150
1400,D,0.368217054263566,358.333333333333,4,200
1401,P,0,200,1,200
1402,C,0.393103448275862,580,5,200
1404,P,0,200,NA,200
1405,C,0,200,6,200
1406,C,0,200,3,200
1407,C,0,200,4,200
1408,D,0.408602150537634,516.666666666667,2,200
1409,C,0.407142857142857,437.5,4,200
1410,P,0.38974358974359,390,4,1150
1411,D,0.368217054263566,358.333333333333,6,1150
1412,D,0.368217054263566,358.333333333333,6,200
1413,D,0.408602150537634,516.666666666667,3,200
1416,P,0,200,1,200
1417,C,0.38974358974359,390,5,200
1500,D,0.393103448275862,580,4,1150
1501,D,0,200,2,200
1502,C,0.368217054263566,358.333333333333,9,200
1503,C,0.253333333333333,833.333333333333,1,1150
1504,D,0.407142857142857,437.5,2,1150
1506,C,0.253333333333333,833.333333333333,4,200
1507,C,0,200,4,200
1508,C,0.393103448275862,580,4,200
1509,D,0,200,3,200
1510,C,0,200,1,200
1511,D,0.407142857142857,437.5,3,200
1512,D,0.408602150537634,516.666666666667,2,1150
1513,D,0.368217054263566,358.333333333333,4,200
1514,D,0,200,5,200
1515,C,0,200,4,200
1516,C,0.253333333333333,833.333333333333,2,200
1600,C,0,200,5,200
1601,D,0,200,4,200
1602,C,0.407142857142857,437.5,4,200
1603,D,0.408602150537634,516.666666666667,5,200
1604,D,0,200,7,200
1606,P,0.407142857142857,437.5,8,200
1607,C,0.346504559270517,335.714285714286,6,200
1608,C,0.408602150537634,516.666666666667,6,1150
1609,C,0.411255411255411,471.428571428571,11,1150
1610,C,0.408602150537634,516.666666666667,10,200
1611,D,0.393103448275862,580,6,1150
1612,D,0.408602150537634,516.666666666667,5,200
1614,C,0.399399399399399,411.111111111111,14,200
1615,C,0,200,5,200
1616,D,0.408602150537634,516.666666666667,7,200
1617,D,0.253333333333333,833.333333333333,5,200
1618,D,0.408602150537634,516.666666666667,8,1150
1619,C,0.351851851851852,675,6,200
1701,C,0,200,4,200
1702,C,0,200,2,200
1703,C,0,200,6,200
1704,C,0.195205479452055,912.5,6,1150
1705,C,0,1150,5,1150
1706,C,0,200,3,200
1708,C,0,1150,5,1150
1709,D,0.407142857142857,437.5,5,200
1711,,0,1150,4,1150
1712,C,0,200,4,200
1801,C,0.38974358974359,390,5,200
1802,D,0.38974358974359,390,4,1150
1805,C,0.368217054263566,358.333333333333,5,200
1806,P,0.407142857142857,437.5,3,200
1807,D,0.368217054263566,358.333333333333,6,1150
1808,C,0,200,3,200
1809,D,0,200,3,200
1810,C,0.407142857142857,437.5,3,200
1811,C,0,200,5,200
1812,D,0.253333333333333,833.333333333333,1,200
1813,P,0.408602150537634,516.666666666667,5,200
1814,D,0.38974358974359,390,4,200
1816,C,0,200,5,200
1900,D,0,200,2,200
1901,C,0,200,9,200
1902,D,0,200,8,200
1903,C,0.325980392156863,318.75,6,200
1904,C,0.38974358974359,390,7,1150
1905,C,0.38974358974359,390,5,200
1906,C,0,200,5,200
1907,P,0,200,2,200
1908,C,0.368217054263566,358.333333333333,5,200
1909,D,0.325980392156863,318.75,7,200
1910,NA,NA,NA,NA,200
1911,C,0,200,10,200
1912,D,0,200,4,200
1913,,0,200,2,200
1914,C,0.407142857142857,437.5,5,1150
1915,C,0,200,6,200
1916,D,0.407142857142857,437.5,7,200
2000,C,0.368217054263566,358.333333333333,12,200
2001,C,0.346504559270517,335.714285714286,8,200
2002,D,0.393103448275862,580,4,200
2003,C,0,200,5,200
2004,C,0.307070707070707,305.555555555556,10,1150
2005,D,0,200,3,200
2006,D,0,200,4,200
2007,C,0,200,5,200
2008,C,0.408602150537634,516.666666666667,5,200
2009,C,0.411340206185567,485,8,200
2010,P,0.346504559270517,335.714285714286,5,200
2012,P,0.408602150537634,516.666666666667,9,200
2013,C,0.411255411255411,471.428571428571,5,200
2014,C,0.368217054263566,358.333333333333,6,1150
2015,C,0.38974358974359,390,5,200
2016,D,0.368217054263566,358.333333333333,3,1150
2017,D,0,200,7,200
2018,C,0.38974358974359,390,7,200
2019,C,-8.88178419700125e-16,200,9,200
2100,D,0.411255411255411,471.428571428571,5,200
2101,D,0.368217054263566,358.333333333333,7,200
2102,C,0,200,4,200
2103,D,0.411255411255411,471.428571428571,10,1150
2104,D,0.393103448275862,580,7,200
2105,D,0.407142857142857,437.5,5,200
2106,D,0.351851851851852,675,4,200
2107,D,0.393103448275862,580,4,200
2108,D,0.393103448275862,580,4,1150
2109,D,0.408602150537634,516.666666666667,6,1150
2110,C,0.408602150537634,516.666666666667,6,200
2111,D,0.411255411255411,471.428571428571,8,200
2113,D,0.411255411255411,471.428571428571,7,1150
2115,C,0.351851851851852,675,8,200
2116,D,0.407142857142857,437.5,3,200
2200,C,0.400280898876405,556.25,6,200
2201,D,0,200,4,200
2202,C,0.368217054263566,358.333333333333,3,200
2205,D,0,200,6,200
2206,D,0.393103448275862,580,8,1150
2207,D,0,200,6,200
2208,D,0.346504559270517,335.714285714286,8,200
2209,P,0.307070707070707,305.555555555556,6,200
2210,P,0.411255411255411,471.428571428571,7,1150
2211,C,0.399399399399399,411.111111111111,8,200
2212,D,0.346504559270517,335.714285714286,7,200
2213,D,0.289830508474576,295,9,1150
2214,P,0.408602150537634,516.666666666667,2,200
2215,D,0.38974358974359,390,4,200
