superid,initial_coop,inital_defect,initial_punish,initial_local_gini,initial_local_avg_wealth,initial_degree,initial_score
1217,0,1,0,0.351851851851852,675,3,1150
1218,1,0,0,0.368217054263566,358.333333333333,7,200
1219,0,1,0,0.289830508474576,295,5,200
1221,1,0,0,0.325980392156863,318.75,10,200
1222,NA,NA,NA,NA,NA,NA,200
1300,0,1,0,0.351851851851852,675,6,200
1301,1,0,0,0.393103448275862,580,6,200
1302,1,0,0,0.351851851851852,675,7,200
1303,1,0,0,0.393103448275862,580,6,200
1304,1,0,0,0.408602150537634,516.666666666667,11,1150
1305,0,0,1,0.296103896103896,770,5,1150
1306,1,0,0,0.38974358974359,390,8,200
1307,1,0,0,0.346504559270517,335.714285714286,8,1150
1308,0,1,0,0,200,8,200
1309,0,1,0,0.400280898876405,556.25,7,1150
1310,1,0,0,0.368217054263566,358.333333333333,11,200
1311,0,1,0,0.393103448275862,580,6,200
1312,0,1,0,0.403030303030303,545.454545454545,12,200
1313,0,1,0,0.407142857142857,437.5,9,200
1315,0,1,0,0.399399399399399,411.111111111111,8,200
1316,0,1,0,0.38974358974359,390,8,200
1317,1,0,0,0.376984126984127,622.222222222222,8,200
1318,1,0,0,0.408602150537634,516.666666666667,14,1150
1319,1,0,0,0.307070707070707,305.555555555556,9,200
1320,0,1,0,0.387529137529137,595.833333333333,11,200
1321,1,0,0,0.368217054263566,358.333333333333,9,1150
1322,1,0,0,0,200,7,200
1323,0,1,0,0.307070707070707,305.555555555556,9,200
1324,0,1,0,0.383193277310924,607.142857142857,5,1150
1400,0,1,0,0.368217054263566,358.333333333333,4,200
1401,0,0,1,0,200,1,200
1402,1,0,0,0.393103448275862,580,5,200
1404,0,0,1,0,200,NA,200
1405,1,0,0,0,200,6,200
1406,1,0,0,0,200,3,200
1407,1,0,0,0,200,4,200
1408,0,1,0,0.408602150537634,516.666666666667,2,200
1409,1,0,0,0.407142857142857,437.5,4,200
1410,0,0,1,0.38974358974359,390,4,1150
1411,0,1,0,0.368217054263566,358.333333333333,6,1150
1412,0,1,0,0.368217054263566,358.333333333333,6,200
1413,0,1,0,0.408602150537634,516.666666666667,3,200
1416,0,0,1,0,200,1,200
1417,1,0,0,0.38974358974359,390,5,200
1500,0,1,0,0.393103448275862,580,4,1150
1501,0,1,0,0,200,2,200
1502,1,0,0,0.368217054263566,358.333333333333,9,200
1503,1,0,0,0.253333333333333,833.333333333333,1,1150
1504,0,1,0,0.407142857142857,437.5,2,1150
1506,1,0,0,0.253333333333333,833.333333333333,4,200
1507,1,0,0,0,200,4,200
1508,1,0,0,0.393103448275862,580,4,200
1509,0,1,0,0,200,3,200
1510,1,0,0,0,200,1,200
1511,0,1,0,0.407142857142857,437.5,3,200
1512,0,1,0,0.408602150537634,516.666666666667,2,1150
1513,0,1,0,0.368217054263566,358.333333333333,4,200
1514,0,1,0,0,200,5,200
1515,1,0,0,0,200,4,200
1516,1,0,0,0.253333333333333,833.333333333333,2,200
1600,1,0,0,0,200,5,200
1601,0,1,0,0,200,4,200
1602,1,0,0,0.407142857142857,437.5,4,200
1603,0,1,0,0.408602150537634,516.666666666667,5,200
1604,0,1,0,0,200,7,200
1606,0,0,1,0.407142857142857,437.5,8,200
1607,1,0,0,0.346504559270517,335.714285714286,6,200
1608,1,0,0,0.408602150537634,516.666666666667,6,1150
1609,1,0,0,0.411255411255411,471.428571428571,11,1150
1610,1,0,0,0.408602150537634,516.666666666667,10,200
1611,0,1,0,0.393103448275862,580,6,1150
1612,0,1,0,0.408602150537634,516.666666666667,5,200
1614,1,0,0,0.399399399399399,411.111111111111,14,200
1615,1,0,0,0,200,5,200
1616,0,1,0,0.408602150537634,516.666666666667,7,200
1617,0,1,0,0.253333333333333,833.333333333333,5,200
1618,0,1,0,0.408602150537634,516.666666666667,8,1150
1619,1,0,0,0.351851851851852,675,6,200
1701,1,0,0,0,200,4,200
1702,1,0,0,0,200,2,200
1703,1,0,0,0,200,6,200
1704,1,0,0,0.195205479452055,912.5,6,1150
1705,1,0,0,0,1150,5,1150
1706,1,0,0,0,200,3,200
1708,1,0,0,0,1150,5,1150
1709,0,1,0,0.407142857142857,437.5,5,200
1711,0,0,0,0,1150,4,1150
1712,1,0,0,0,200,4,200
1801,1,0,0,0.38974358974359,390,5,200
1802,0,1,0,0.38974358974359,390,4,1150
1805,1,0,0,0.368217054263566,358.333333333333,5,200
1806,0,0,1,0.407142857142857,437.5,3,200
1807,0,1,0,0.368217054263566,358.333333333333,6,1150
1808,1,0,0,0,200,3,200
1809,0,1,0,0,200,3,200
1810,1,0,0,0.407142857142857,437.5,3,200
1811,1,0,0,0,200,5,200
1812,0,1,0,0.253333333333333,833.333333333333,1,200
1813,0,0,1,0.408602150537634,516.666666666667,5,200
1814,0,1,0,0.38974358974359,390,4,200
1816,1,0,0,0,200,5,200
1900,0,1,0,0,200,2,200
1901,1,0,0,0,200,9,200
1902,0,1,0,0,200,8,200
1903,1,0,0,0.325980392156863,318.75,6,200
1904,1,0,0,0.38974358974359,390,7,1150
1905,1,0,0,0.38974358974359,390,5,200
1906,1,0,0,0,200,5,200
1907,0,0,1,0,200,2,200
1908,1,0,0,0.368217054263566,358.333333333333,5,200
1909,0,1,0,0.325980392156863,318.75,7,200
1910,NA,NA,NA,NA,NA,NA,200
1911,1,0,0,0,200,10,200
1912,0,1,0,0,200,4,200
