"game","superid","round","showScore","initScore","payoff","cumulativePayoff","cPayoffS","WealthLevel","coop","local_rate_coop","degree","happ","harm"
205,20506,11,0,200,200,2950,-0.322135845773992,"Middle",1,0.75,7,0,0
205,20507,11,0,200,200,2900,-0.377890126773337,"Middle",1,0.833333333333333,7,1,0
205,20508,11,0,200,200,2450,-0.879678655767441,"Poorer",0,0.666666666666667,2,1,0
205,20509,11,0,200,250,3400,0.179652683220111,"Middle",1,0.857142857142857,7,2,0
205,20510,11,0,1150,250,3700,0.514178369216181,"Richer",1,0.857142857142857,7,0,0
205,20513,11,0,1150,700,5400,2.40982392319391,"Richest",0,0.875,8,2,0
205,20514,11,0,200,250,2600,-0.712415812769406,"Poorer",1,0.857142857142857,7,2,0
206,20601,11,0,200,50,1150,-0.389045231850736,"Middle",1,0.666666666666667,3,0,0
206,20602,11,0,200,0,2800,1.58610748369916,"Richest",0,0.5,2,0,0
206,20603,11,0,1150,300,2450,1.16713569555221,"Richer",0,0.8,3,1,0
206,20604,11,0,200,100,1650,0.209485894073473,"Middle",1,0.75,4,2,0
206,20606,11,0,200,-100,1000,-0.568604569627999,"Poorer",0,0,NA,1,0
206,20608,11,0,200,50,1300,-0.209485894073473,"Middle",1,0.666666666666667,4,1,0
206,20611,11,0,200,-100,1300,-0.209485894073473,"Middle",1,0.5,4,0,0
206,20613,11,0,200,-100,150,-1.58610748369916,"Poorest",NA,0.25,2,1,1
207,20701,11,0,200,100,900,-0.337348490755425,"Middle",1,1,2,2,0
207,20702,11,0,200,50,500,-0.787146478429325,"Poorer",1,0.666666666666667,3,2,0
207,20703,11,0,200,-50,650,-0.618472233051613,"Poorer",1,0.333333333333333,3,0,0
207,20705,11,0,1150,50,1900,0.787146478429325,"Richer",1,0.666666666666667,3,0,0
207,20706,11,0,200,50,200,-1.12449496918475,"Poorer",1,1,1,1,0
207,20711,11,0,1150,100,1550,0.393573239214663,"Middle",0,0.5,2,2,0
207,20713,11,0,1150,300,2700,1.68674245377713,"Richest",0,0.75,4,2,0
208,20800,11,0,1150,50,1350,-0.02703974501857,"Middle",1,0.6,7,0,0
208,20801,11,0,200,100,-50,-2.10910011144845,"Poorest",0,0.5,2,1,0
208,20802,11,0,1150,0,1350,-0.02703974501857,"Middle",NA,NA,NA,1,0
208,20803,11,0,1150,150,1300,-0.101399043819637,"Middle",1,0.8,6,2,0
208,20804,11,0,200,300,700,-0.993710629432443,"Poorer",0,0.6,5,2,0
208,20805,11,0,1150,300,1600,0.344756748986766,"Middle",1,1,6,2,0
208,20806,11,0,200,150,1050,-0.473195537824973,"Middle",1,0.714285714285714,7,2,0
208,20807,11,0,200,150,1600,0.344756748986766,"Middle",1,0.714285714285714,6,2,0
208,20810,11,0,200,400,2500,1.68322412740597,"Richest",0,0.8,4,2,0
208,20812,11,0,1150,250,1550,0.270397450185699,"Middle",1,0.857142857142857,7,1,0
208,20813,11,0,1150,250,2100,1.08834973699744,"Richer",1,1,6,2,0
209,20900,11,0,1150,250,3700,0.793830574573752,"Richer",1,0.857142857142857,7,1,0
209,20901,11,0,200,100,1400,-1.08683241754947,"Poorer",0,0.25,4,1,0
209,20902,11,0,1150,250,3550,0.671178640304846,"Richer",1,0.857142857142857,7,1,0
209,20903,11,0,200,200,2450,-0.22826887766713,"Middle",0,0.5,4,1,0
209,20904,11,0,200,150,1350,-1.12771639563911,"Poorer",1,0.666666666666667,9,1,0
209,20905,11,0,1150,300,3750,0.834714552663388,"Richer",1,1,6,2,0
209,20906,11,0,200,250,2150,-0.473572746204942,"Middle",1,0.857142857142857,6,2,0
209,20907,11,0,200,250,2450,-0.22826887766713,"Middle",1,0.857142857142857,7,0,0
209,20908,11,0,200,200,1350,-1.12771639563911,"Poorer",1,0.75,8,1,0
209,20909,11,0,1150,400,5450,2.22476980771099,"Richest",0,0.571428571428571,6,1,0
209,20911,11,0,1150,100,2950,0.180570903229223,"Middle",0,1,1,2,0
209,20912,11,0,200,100,2200,-0.432688768115307,"Middle",0,0.333333333333333,3,1,0
210,21000,11,0,200,200,1000,-0.858200867236333,"Poorer",1,0.75,8,1,0
210,21003,11,0,200,250,2000,0.0895056119203537,"Middle",1,1,5,2,0
210,21008,11,0,200,300,3500,1.51106533065538,"Richest",0,1,3,1,0
210,21009,11,0,200,200,1550,-0.336962303700156,"Middle",1,1,4,2,0
210,21010,11,0,200,250,1750,-0.147421007868818,"Middle",1,0.857142857142857,7,1,0
210,21011,11,0,200,100,250,-1.56898072660385,"Poorest",1,1,3,0,0
210,21012,11,0,200,150,1600,-0.289576979742321,"Middle",1,0.714285714285714,7,2,0
210,21014,11,0,200,300,3500,1.51106533065538,"Richest",0,1,4,2,0
210,21018,11,0,1150,150,2000,0.0895056119203537,"Middle",1,0.8,5,1,0
211,21100,11,0,200,50,1700,0.298915461581039,"Middle",1,0.666666666666667,3,1,0
211,21103,11,0,200,50,2450,1.67852528426276,"Richest",1,0.666666666666667,4,1,0
211,21105,11,0,200,300,1700,0.298915461581039,"Middle",0,0.6,4,1,0
211,21106,11,0,1150,0,1250,-0.528850432027992,"Poorer",NA,NA,NA,-2,0
211,21107,11,0,200,0,750,-1.4485903138158,"Poorer",0,0,1,1,0
211,21108,11,0,200,150,950,-1.08069436110068,"Poorer",1,1,3,1,0
211,21109,11,0,1150,50,1600,0.114967485223476,"Middle",1,0.6,5,0,0
211,21112,11,0,200,100,1900,0.666811414296163,"Richer",0,0.5,2,2,0
212,21201,11,0,200,700,3850,0.553007079467492,"Richer",0,0.7,8,1,0
212,21202,11,0,200,200,2500,-0.386718237389855,"Middle",1,0.7,9,1,0
212,21203,11,0,200,150,2050,-0.699960009675637,"Poorer",1,0.714285714285714,7,1,0
212,21204,11,0,1150,300,6350,2.29323914772184,"Richest",0,0.75,4,2,0
212,21205,11,0,200,150,2200,-0.595546085580376,"Poorer",1,0.714285714285714,8,1,0
212,21206,11,0,1150,300,5250,1.52753703768993,"Richest",0,0.75,5,2,0
212,21207,11,0,200,900,3400,0.23976530718171,"Middle",0,0.818181818181818,9,-1,0
212,21208,11,0,1150,200,3050,-0.00386718237389862,"Middle",1,0.75,10,1,0
212,21210,11,0,200,250,2300,-0.525936802850202,"Poorer",1,0.727272727272727,11,0,0
212,21211,11,0,1150,300,4150,0.761834927658013,"Richer",0,0.75,4,2,0
212,21212,11,0,200,100,2600,-0.317108954659681,"Middle",1,0.625,9,2,0
212,21213,11,0,200,-100,1050,-1.39605283697737,"Poorer",1,0.375,8,0,0
212,21214,11,0,200,100,1700,-0.943592499231245,"Poorer",0,0.333333333333333,2,2,0
212,21216,11,0,200,-200,1850,-0.839178575135984,"Poorer",1,0.3,10,1,0
212,21217,11,0,1150,250,4500,1.00546741721362,"Richer",1,0.727272727272727,11,1,0
212,21218,11,0,200,700,4500,1.00546741721362,"Richer",0,0.777777777777778,10,2,0
212,21219,11,0,200,0,1500,-1.08281106469159,"Poorer",NA,NA,NA,-2,0
212,21221,11,0,200,150,2200,-0.595546085580376,"Poorer",1,0.666666666666667,11,2,0
213,21300,11,0,200,50,2700,-1.46928644998452,"Poorer",1,0.538461538461538,13,1,0
213,21301,11,0,200,500,4650,0.262372580354379,"Middle",1,0.916666666666667,12,2,0
213,21302,11,0,200,550,5150,0.706387716338713,"Richer",1,0.923076923076923,13,1,0
213,21303,11,0,200,400,5000,0.573183175543413,"Richer",1,0.785714285714286,13,2,0
213,21304,11,0,1150,400,4450,0.0847665259606453,"Middle",1,0.785714285714286,14,1,0
213,21305,11,0,1150,300,3750,-0.536854664417423,"Poorer",1,0.714285714285714,12,2,0
213,21306,11,0,200,300,3200,-1.02527131400019,"Poorer",1,0.6875,16,2,0
213,21307,11,0,1150,500,5550,1.06159982512618,"Richer",1,0.857142857142857,14,0,0
213,21309,11,0,1150,0,3650,-0.62565769161429,"Poorer",0,0,3,2,0
213,21311,11,0,200,200,3700,-0.581256178015856,"Poorer",0,0.333333333333333,5,2,0
213,21312,11,0,200,900,6950,2.30484220588232,"Richest",0,0.692307692307692,13,2,0
213,21313,11,0,200,1100,5200,0.750789229937147,"Richer",0,0.846153846153846,9,1,0
213,21315,11,0,200,600,5400,0.92839528433088,"Richer",0,1,5,2,0
213,21316,11,0,200,200,2200,-1.91330158596886,"Poorest",0,0.666666666666667,3,2,0
213,21317,11,0,200,400,3900,-0.403650123622122,"Middle",1,0.833333333333333,10,1,0
213,21318,11,0,1150,450,5150,0.706387716338713,"Richer",1,0.846153846153846,13,2,0
213,21319,11,0,200,550,4900,0.484380148346546,"Middle",1,0.923076923076923,12,2,0
213,21320,11,0,200,200,4100,-0.226044069228389,"Middle",0,0.4,6,2,0
213,21321,11,0,1150,350,5250,0.79519074353558,"Richer",1,0.733333333333333,15,2,0
213,21322,11,0,200,450,4800,0.395577121149679,"Middle",1,0.846153846153846,12,1,0
213,21323,11,0,200,300,3200,-1.02527131400019,"Poorer",0,0.428571428571429,6,2,0
213,21324,11,0,1150,100,2950,-1.24727888199236,"Poorer",0,0.333333333333333,3,2,0
214,21400,11,0,200,200,1600,-0.123518352485044,"Middle",0,1,NA,2,0
214,21401,11,0,200,300,1100,-0.617591762425222,"Poorer",1,1,8,2,0
214,21402,11,0,200,200,2150,0.419962398449151,"Middle",1,1,6,2,0
214,21404,11,0,200,0,1050,-0.666999103419239,"Poorer",NA,NA,1,0,0
214,21406,11,0,200,200,2000,0.271740375467098,"Middle",1,0.833333333333333,5,1,0
214,21407,11,0,200,400,2000,0.271740375467098,"Middle",1,1,8,2,0
214,21408,11,0,200,100,300,-1.40810921832951,"Poorer",0,1,1,2,0
214,21409,11,0,200,150,350,-1.35870187733549,"Poorer",1,0.714285714285714,4,1,0
214,21410,11,0,1150,300,3000,1.25988719534745,"Richer",0,1,1,2,0
214,21411,11,0,1150,400,3750,2.00099731025772,"Richest",1,1,9,2,0
214,21412,11,0,200,100,2000,0.271740375467098,"Middle",1,0.75,6,1,0
214,21413,11,0,200,350,1800,0.0741110114910266,"Middle",1,1,7,1,0
214,21416,11,0,200,-100,450,-1.25988719534745,"Poorer",1,0,4,1,0
214,21417,11,0,200,300,2600,0.86462846739531,"Richer",1,1,6,2,0
215,21500,11,0,1150,100,2350,1.28431478212744,"Richer",0,0.333333333333333,2,1,0
215,21501,11,0,200,50,1600,0.408645612495093,"Middle",1,0.666666666666667,3,1,0
215,21502,11,0,200,300,2700,1.69296039462253,"Richest",0,0.333333333333333,8,1,0
215,21503,11,0,1150,100,2000,0.875669169632342,"Richer",1,0.666666666666667,6,1,0
215,21504,11,0,1150,200,1250,0,"Middle",0,0.285714285714286,4,2,0
215,21506,11,0,200,100,600,-0.75891328034803,"Poorer",1,0.666666666666667,6,0,0
215,21507,11,0,200,400,1650,0.467023557137249,"Middle",0,0.666666666666667,4,0,0
215,21508,11,0,200,100,800,-0.525401501779405,"Poorer",0,0.333333333333333,4,1,0
215,21509,11,0,200,0,800,-0.525401501779405,"Poorer",0,0,4,2,0
215,21511,11,0,200,0,800,-0.525401501779405,"Poorer",0,0,2,2,0
215,21512,11,0,1150,100,2550,1.51782656069606,"Richest",0,0.25,4,1,0
215,21513,11,0,200,100,450,-0.934047114274498,"Poorer",1,0.625,7,1,0
215,21514,11,0,200,200,1000,-0.291889723210781,"Middle",1,0.833333333333333,6,2,0
215,21515,11,0,200,0,-50,-1.51782656069606,"Poorest",NA,NA,NA,-1,0
215,21516,11,0,200,50,250,-1.16755889284312,"Poorer",1,0.571428571428571,6,0,0
216,21602,11,0,200,150,1050,-1.11542258824678,"Poorer",1,0.714285714285714,7,2,0
216,21603,11,0,200,200,2200,0.234825808051955,"Middle",0,0.285714285714286,6,2,0
216,21604,11,0,200,100,2000,0,"Middle",0,0.166666666666667,5,1,0
216,21606,11,0,200,-150,2250,0.293532260064943,"Middle",1,0.333333333333333,6,0,0
216,21607,11,0,200,150,1900,-0.117412904025977,"Middle",1,0.714285714285714,7,2,0
216,21608,11,0,1150,100,2100,0.117412904025977,"Middle",1,0.666666666666667,7,2,0
216,21609,11,0,1150,400,3350,1.58507420435069,"Richest",0,0.444444444444444,9,2,0
216,21610,11,0,200,300,3400,1.64378065636368,"Richest",0,0.75,3,2,0
216,21612,11,0,200,100,3200,1.40895484831173,"Richer",0,0.166666666666667,6,2,0
216,21614,11,0,200,300,800,-1.40895484831173,"Poorer",0,0.333333333333333,9,2,0
216,21615,11,0,200,200,1200,-0.939303232207819,"Poorer",1,0.833333333333333,7,2,0
216,21617,11,0,200,0,1000,-1.17412904025977,"Poorer",0,0,6,2,0
216,21618,11,0,1150,150,1800,-0.234825808051955,"Middle",1,0.714285714285714,7,1,0
216,21619,11,0,200,250,1750,-0.293532260064943,"Middle",1,0.857142857142857,7,0,0
217,21701,11,0,200,350,3400,1.22266727045312,"Richer",1,1,7,2,0
217,21702,11,0,200,400,2950,0.436666882304687,"Middle",1,1,8,1,0
217,21703,11,0,200,200,1600,-1.92133428214062,"Poorest",1,0.875,8,1,0
217,21704,11,0,1150,250,3500,1.397334023375,"Richer",NA,1,5,1,1
217,21705,11,0,1150,200,2650,-0.0873333764609373,"Middle",1,0.875,8,1,0
217,21706,11,0,200,400,2450,-0.436666882304687,"Middle",1,1,8,2,0
217,21708,11,0,1150,200,2300,-0.698667011687498,"Poorer",1,0.875,8,2,0
217,21709,11,0,200,250,2300,-0.698667011687498,"Poorer",1,0.888888888888889,9,2,0
217,21711,11,0,1150,100,2750,0.0873333764609373,"Middle",1,0.833333333333333,6,0,0
217,21712,11,0,200,350,3100,0.698667011687498,"Richer",1,1,7,2,0
218,21801,11,0,200,100,150,-0.0409061148981913,"Middle",0,0.25,4,1,0
218,21802,11,0,1150,-250,0,-0.251280420088889,"Middle",NA,0,2,0,1
218,21805,11,0,200,-100,950,1.0810901794522,"Richer",0,0,2,1,0
218,21806,11,0,200,-50,-800,-1.37327671443928,"Poorer",1,0,3,0,0
218,21807,11,0,1150,-50,1100,1.2914644846429,"Richer",1,0,1,0,0
218,21808,11,0,200,50,600,0.590216800673903,"Richer",1,0.666666666666667,3,1,0
218,21809,11,0,200,200,800,0.8707158742615,"Richer",0,0.666666666666667,3,2,0
218,21810,11,0,200,100,200,0.0292186534987081,"Middle",1,1,2,1,0
218,21811,11,0,200,100,900,1.0109654110553,"Richer",1,1,2,2,0
218,21812,11,0,200,-200,-300,-0.672029030470285,"Poorer",0,0,2,2,0
218,21813,11,0,200,-200,-1050,-1.72390055642378,"Poorest",NA,0,2,0,1
218,21816,11,0,200,0,-400,-0.812278567264084,"Poorer",0,0,2,2,0
219,21901,11,0,200,250,2100,-0.613345425888932,"Poorer",1,0.777777777777778,7,2,0
