"id","event","event_date","data_name","data_value"
"1928991","clientLogIn","2018-05-31T03:19:10Z","clientId","3A1PQ49WVI8HM9D45Q9C4KZO5RSH13"
"1928991","clientLogIn","2018-05-31T03:19:10Z","referer","https://nlab.ph.ucla.edu:9663/game/513/10084/3A1PQ49WVI8HM9D45Q9C4KZO5RSH13/connected?connectionSpeed=3501"
"1928991","clientLogIn","2018-05-31T03:19:10Z","connection","keep-alive"
"1928991","clientLogIn","2018-05-31T03:19:10Z","acceptLanguage","en-US,en;q=0.9"
"1928991","clientLogIn","2018-05-31T03:19:10Z","acceptEncoding","gzip, deflate, br"
"1928991","clientLogIn","2018-05-31T03:19:10Z","userAgent","Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.181 Safari/537.36"
"1928991","clientLogIn","2018-05-31T03:19:10Z","host","nlab.ph.ucla.edu:9663"
"1928991","clientLogIn","2018-05-31T03:19:10Z","ipAddress","69.125.66.208"
"1928991","clientLogIn","2018-05-31T03:19:10Z","requestURI","/game/513/10084/3A1PQ49WVI8HM9D45Q9C4KZO5RSH13/state"
"1928992","clientLogIn","2018-05-31T03:19:12Z","ipAddress","71.239.123.249"
"1928992","clientLogIn","2018-05-31T03:19:12Z","requestURI","/game/513/10084/3HYA4D452SA4XY4UT4LQ6IXGHITF2K/state"
"1928992","clientLogIn","2018-05-31T03:19:12Z","clientId","3HYA4D452SA4XY4UT4LQ6IXGHITF2K"
"1928992","clientLogIn","2018-05-31T03:19:12Z","referer","https://nlab.ph.ucla.edu:9663/game/513/10084/3HYA4D452SA4XY4UT4LQ6IXGHITF2K/connected?connectionSpeed=2425"
"1928992","clientLogIn","2018-05-31T03:19:12Z","connection","keep-alive"
"1928992","clientLogIn","2018-05-31T03:19:12Z","acceptLanguage","en-US,en;q=0.9"
"1928992","clientLogIn","2018-05-31T03:19:12Z","acceptEncoding","gzip, deflate, br"
"1928992","clientLogIn","2018-05-31T03:19:12Z","userAgent","Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.62 Safari/537.36"
"1928992","clientLogIn","2018-05-31T03:19:12Z","host","nlab.ph.ucla.edu:9663"
"1928993","clientLogIn","2018-05-31T03:19:17Z","clientId","3YMTUJH0DT7OJH1IS293G19FS5X4TD"
"1928993","clientLogIn","2018-05-31T03:19:17Z","referer","https://nlab.ph.ucla.edu:9663/game/513/10084/3YMTUJH0DT7OJH1IS293G19FS5X4TD/connected?connectionSpeed=637"
"1928993","clientLogIn","2018-05-31T03:19:17Z","connection","keep-alive"
"1928993","clientLogIn","2018-05-31T03:19:17Z","acceptLanguage","en-US,en;q=0.9"
"1928993","clientLogIn","2018-05-31T03:19:17Z","acceptEncoding","gzip, deflate, br"
"1928993","clientLogIn","2018-05-31T03:19:17Z","userAgent","Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.181 Safari/537.36"
"1928993","clientLogIn","2018-05-31T03:19:17Z","host","nlab.ph.ucla.edu:9663"
"1928993","clientLogIn","2018-05-31T03:19:17Z","ipAddress","73.37.86.81"
"1928993","clientLogIn","2018-05-31T03:19:17Z","requestURI","/game/513/10084/3YMTUJH0DT7OJH1IS293G19FS5X4TD/state"
"1928994","clientLogIn","2018-05-31T03:19:26Z","clientId","32RIADZISTVN4HO3324D6WDTQMJ4SO"
