"id","event","event_date","data_name","data_value"
"1936815","clientLogIn","2018-06-13T05:18:22Z","clientId","3TAYZSBPLMZD139GZOLPDHGV7232SV"
"1936815","clientLogIn","2018-06-13T05:18:22Z","referer","https://nlab.ph.ucla.edu:9663/game/513/10137/3TAYZSBPLMZD139GZOLPDHGV7232SV/connected?connectionSpeed=952"
"1936815","clientLogIn","2018-06-13T05:18:22Z","connection","keep-alive"
"1936815","clientLogIn","2018-06-13T05:18:22Z","acceptLanguage","en-US,en;q=0.5"
"1936815","clientLogIn","2018-06-13T05:18:22Z","acceptEncoding","gzip, deflate, br"
"1936815","clientLogIn","2018-06-13T05:18:22Z","userAgent","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:60.0) Gecko/20100101 Firefox/60.0"
"1936815","clientLogIn","2018-06-13T05:18:22Z","host","nlab.ph.ucla.edu:9663"
"1936815","clientLogIn","2018-06-13T05:18:22Z","ipAddress","108.184.205.177"
"1936815","clientLogIn","2018-06-13T05:18:22Z","requestURI","/game/513/10137/3TAYZSBPLMZD139GZOLPDHGV7232SV/state"
"1936816","clientLogIn","2018-06-13T05:18:24Z","referer","https://nlab.ph.ucla.edu:9663/game/513/10137/3FQ5JJ512MFB26L1GYA7EJSJ13GNKP/connected?connectionSpeed=2123"
"1936816","clientLogIn","2018-06-13T05:18:24Z","connection","keep-alive"
"1936816","clientLogIn","2018-06-13T05:18:24Z","acceptLanguage","en-US,en;q=0.9"
"1936816","clientLogIn","2018-06-13T05:18:24Z","acceptEncoding","gzip, deflate, br"
"1936816","clientLogIn","2018-06-13T05:18:24Z","userAgent","Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.87 Safari/537.36"
"1936816","clientLogIn","2018-06-13T05:18:24Z","host","nlab.ph.ucla.edu:9663"
"1936816","clientLogIn","2018-06-13T05:18:24Z","ipAddress","107.175.184.252"
"1936816","clientLogIn","2018-06-13T05:18:24Z","requestURI","/game/513/10137/3FQ5JJ512MFB26L1GYA7EJSJ13GNKP/state"
